NombreDB;NombreEjercicio;ModeloUsado;EvaluandoCategoria;DuracionTiempoRespuesta;ExitoRespuesta;TokensEntrada;TokensSalida
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-12b-it:free;Error Logico;4.01;Si;4197;0
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-27b-it:free;Respuesta Correcta;5.93;Si;4281;171
Contexto2023-1;Ejercicio1_2023-1;mistralai/mistral-nemo:free;Respuesta Incorrecta;7.75;Si;4038;139
Contexto2023-2;Ejercicio1_2023-2;x-ai/grok-4-fast:free;Elementos Extras;26.73;Si;3738;1069
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-235b-a22b:free;Error Logico;20.42;Si;3819;1308
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-12b-it:free;Respuesta Incorrecta;5.14;Si;3820;0
Contexto2023-1;Ejercicio1_2023-1;deepseek/deepseek-chat-v3.1:free;Error Sintaxis;21.09;Si;3931;186
Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-4b-it:free;Error Sintaxis;6.67;Si;3912;0
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-30b-a3b:free;Error Sintaxis;7.45;Si;4141;459
Contexto2023-2;Ejercicio2_2023-2;deepseek/deepseek-chat-v3.1:free;Error Logico;14.93;Si;3866;176
Contexto2023-1;Ejercicio1_2023-1;x-ai/grok-4-fast:free;Respuesta Correcta;9.83;Si;3829;389
Contexto2023-2;Ejercicio3_2023-2;deepseek/deepseek-chat-v3.1:free;Respuesta Correcta;2.13;Si;3804;13
Contexto2023-2;Ejercicio2_2023-2;meta-llama/llama-4-maverick:free;Respuesta Correcta;3.80;Si;3636;175
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-4b-it:free;Error Logico;4.32;Si;4197;0
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-coder:free;Error Logico;0.00;No;0;0
Contexto2023-1;Ejercicio1_2023-1;mistralai/mistral-nemo:free;Elementos Extras;4.68;Si;4037;180
Contexto2023-1;Ejercicio1_2023-1;meta-llama/llama-4-maverick:free;Respuesta Incorrecta;4.32;Si;3689;163
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-4b-it:free;Respuesta Incorrecta;4.55;Si;3820;0
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-14b:free;Elementos Extras;0.00;No;0;0
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-12b-it:free;Respuesta Correcta;6.89;Si;4200;0
Contexto2023-2;Ejercicio2_2023-2;mistralai/mistral-nemo:free;Error Sintaxis;9.11;Si;3877;315
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-14b:free;Error Logico;15.03;Si;3895;730
Contexto2023-1;Ejercicio1_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Respuesta Correcta;39.76;Si;4057;535
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-27b-it:free;Error Sintaxis;10.29;Si;4263;181
Contexto2023-1;Ejercicio1_2023-1;x-ai/grok-4-fast:free;Error Sintaxis;11.09;Si;3806;742
Contexto2023-2;Ejercicio3_2023-2;x-ai/grok-4-fast:free;Respuesta Correcta;15.12;Si;3657;706
Contexto2023-2;Ejercicio2_2023-2;x-ai/grok-4-fast:free;Error Logico;19.30;Si;3727;1095
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-30b-a3b:free;Respuesta Incorrecta;39.63;Si;3939;3029
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-14b:free;Respuesta Correcta;27.28;Si;3986;1374
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-235b-a22b:free;Error Sintaxis;121.29;Si;5129;4532
Contexto2023-1;Ejercicio2_2023-1;mistralai/mistral-nemo:free;Error Logico;5.71;Si;4148;194
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-8b:free;Respuesta Incorrecta;73.47;Si;4115;5501
Contexto2023-1;Ejercicio2_2023-1;deepseek/deepseek-chat-v3.1:free;Respuesta Incorrecta;12.33;Si;4076;215
Contexto2023-1;Ejercicio1_2023-1;meta-llama/llama-4-maverick:free;Elementos Extras;3.94;Si;3686;148
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-coder:free;Error Sintaxis;0.00;No;0;0
Contexto2023-2;Ejercicio3_2023-2;mistralai/mistral-nemo:free;Respuesta Incorrecta;5.16;Si;3794;162
Contexto2023-1;Ejercicio2_2023-1;meta-llama/llama-4-maverick:free;Error Logico;3.93;Si;3790;176
Contexto2023-2;Ejercicio2_2023-2;meta-llama/llama-4-maverick:free;Error Sintaxis;4.68;Si;3613;327
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-12b-it:free;Error Sintaxis;6.51;Si;4182;0
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-14b:free;Respuesta Incorrecta;16.16;Si;4077;650
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-27b-it:free;Respuesta Incorrecta;5.64;Si;4001;0
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-4b-it:free;Respuesta Correcta;4.75;Si;4200;0
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-8b:free;Respuesta Correcta;19.33;Si;3986;1058
Contexto2023-1;Ejercicio2_2023-1;x-ai/grok-4-fast:free;Respuesta Incorrecta;14.37;Si;3946;794
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-30b-a3b:free;Respuesta Correcta;7.43;Si;4061;368
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-235b-a22b:free;Respuesta Incorrecta;57.67;Si;4115;4396
Contexto2023-1;Ejercicio1_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Sintaxis;42.75;Si;4033;5331
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-14b:free;Elementos Extras;12.88;Si;4076;499
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-8b:free;Error Logico;19.25;Si;3895;1374
Contexto2023-2;Ejercicio3_2023-2;deepseek/deepseek-chat-v3.1:free;Error Sintaxis;12.86;Si;3763;197
Contexto2023-2;Ejercicio3_2023-2;meta-llama/llama-4-maverick:free;Respuesta Incorrecta;3.70;Si;3527;165
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-coder:free;Respuesta Incorrecta;0.00;No;0;0
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-27b-it:free;Respuesta Correcta;2.67;Si;4137;0
Contexto2023-2;Ejercicio3_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Respuesta Correcta;7.77;Si;3858;751
Contexto2023-1;Ejercicio2_2023-1;deepseek/deepseek-chat-v3.1:free;Elementos Extras;8.63;Si;4093;168
Contexto2023-1;Ejercicio3_2023-1;mistralai/mistral-nemo:free;Respuesta Correcta;5.11;Si;4139;184
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-12b-it:free;Respuesta Incorrecta;6.21;Si;3872;0
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-4b-it:free;Error Sintaxis;6.10;Si;4182;0
Contexto2023-2;Ejercicio3_2023-2;x-ai/grok-4-fast:free;Error Sintaxis;11.20;Si;3619;991
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-30b-a3b:free;Error Sintaxis;8.78;Si;4037;549
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-8b:free;Elementos Extras;9.54;Si;4076;548
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-14b:free;Error Sintaxis;25.68;Si;3954;1451
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-235b-a22b:free;Respuesta Correcta;11.75;Si;3986;640
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-235b-a22b:free;Error Logico;53.95;Si;3895;3848
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-30b-a3b:free;Respuesta Correcta;23.48;Si;3862;1632
Contexto2023-1;Ejercicio2_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Respuesta Incorrecta;10.49;Si;4178;1168
Contexto2023-2;Ejercicio2_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Logico;118.59;Si;3915;2003
Contexto2023-1;Ejercicio3_2023-1;deepseek/deepseek-chat-v3.1:free;Error Logico;12.20;Si;4081;169
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-8b:free;Elementos Extras;110.64;Si;4171;8291
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-12b-it:free;Respuesta Correcta;3.98;Si;4068;0
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-14b:free;Respuesta Incorrecta;16.92;Si;3888;1008
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-8b:free;Respuesta Incorrecta;58.55;Si;4077;4570
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-14b:free;Error Logico;21.53;Si;4182;1185
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-coder:free;Respuesta Correcta;0.00;No;0;0
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-coder:free;Error Logico;0.00;No;0;0
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-4b-it:free;Respuesta Incorrecta;4.99;Si;3872;0
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-27b-it:free;Respuesta Correcta;2.97;Si;3919;0
Contexto2023-2;Ejercicio3_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Sintaxis;4.43;Si;3818;600
Contexto2023-1;Ejercicio3_2023-1;meta-llama/llama-4-maverick:free;Respuesta Correcta;7.08;Si;3787;347
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-235b-a22b:free;Respuesta Incorrecta;15.72;Si;5094;296
Contexto2023-1;Ejercicio3_2023-1;mistralai/mistral-nemo:free;Error Sintaxis;7.83;Si;4122;297
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-4b-it:free;Respuesta Correcta;4.50;Si;4068;0
Contexto2023-1;Ejercicio3_2023-1;x-ai/grok-4-fast:free;Error Logico;10.96;Si;3958;775
Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-chat-v3.1:free;Error Sintaxis;14.46;Si;3802;260
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-235b-a22b:free;Elementos Extras;30.64;Si;5093;999
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-8b:free;Error Sintaxis;29.36;Si;3954;1473
Contexto2023-1;Ejercicio2_2023-1;x-ai/grok-4-fast:free;Elementos Extras;18.06;Si;3961;790
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-8b:free;Respuesta Incorrecta;19.67;Si;3888;1390
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-27b-it:free;Error Sintaxis;6.34;Si;4109;0
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-8b:free;Error Logico;43.39;Si;4182;2951
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-30b-a3b:free;Error Logico;9.56;Si;3919;414
Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Elementos Extras;242.72;Si;3928;3793
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-235b-a22b:free;Elementos Extras;64.26;Si;5188;2422
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-coder:free;Respuesta Incorrecta;0.00;No;0;0
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-coder:free;Elementos Extras;0.00;No;0;0
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-coder:free;Elementos Extras;0.00;No;0;0
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-235b-a22b:free;Error Logico;0.00;No;0;0
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-235b-a22b:free;Respuesta Incorrecta;43.55;Si;3888;2857
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-30b-a3b:free;Elementos Extras;13.37;Si;3932;680
Contexto2023-2;Ejercicio2_2023-2;deepseek/deepseek-chat-v3.1:free;Respuesta Incorrecta;10.61;Si;3866;169
Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-27b-it:free;Error Logico;11.61;Si;4001;209
Contexto2023-1;Ejercicio3_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Logico;50.21;Si;4171;5739
Contexto2023-2;Ejercicio1_2023-2;mistralai/mistral-nemo:free;Respuesta Incorrecta;10.84;Si;3848;255
Contexto2023-1;Ejercicio3_2023-1;meta-llama/llama-4-maverick:free;Error Sintaxis;4.13;Si;3772;214
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-30b-a3b:free;Respuesta Incorrecta;78.59;Si;4182;5343
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-12b-it:free;Error Sintaxis;7.40;Si;4040;0
Contexto2023-2;Ejercicio1_2023-2;x-ai/grok-4-fast:free;Error Sintaxis;10.95;Si;3657;1113
Contexto2023-1;Ejercicio1_2023-1;mistralai/mistral-nemo:free;Respuesta Correcta;6.26;Si;4023;105
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-235b-a22b:free;Error Sintaxis;13.60;Si;3954;789
Contexto2023-1;Ejercicio2_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Elementos Extras;10.19;Si;4196;2906
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-12b-it:free;Respuesta Correcta;5.50;Si;3927;95
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-30b-a3b:free;Error Sintaxis;12.91;Si;3822;681
Contexto2023-1;Ejercicio1_2023-1;deepseek/deepseek-chat-v3.1:free;Error Logico;8.76;Si;3953;124
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-coder:free;Error Logico;0.00;No;0;0
Contexto2023-1;Ejercicio2_2023-1;deepseek/deepseek-chat-v3.1:free;Respuesta Correcta;3.00;Si;4090;13
Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-chat-v3.1:free;Respuesta Correcta;1.96;Si;3868;7
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-coder:free;Respuesta Incorrecta;0.00;No;0;0
Contexto2023-1;Ejercicio1_2023-1;meta-llama/llama-4-maverick:free;Respuesta Correcta;4.03;Si;3673;86
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-27b-it:free;Elementos Extras;3.64;Si;3998;0
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-30b-a3b:free;Elementos Extras;0.00;No;0;0
Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-12b-it:free;Error Logico;6.32;Si;3870;0
Contexto2023-2;Ejercicio1_2023-2;meta-llama/llama-4-maverick:free;Respuesta Incorrecta;4.62;Si;3587;221
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-4b-it:free;Respuesta Correcta;4.46;Si;3794;0
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-27b-it:free;Error Sintaxis;5.21;Si;3874;0
Contexto2023-1;Ejercicio1_2023-1;x-ai/grok-4-fast:free;Error Logico;4.91;Si;3828;646
Contexto2023-1;Ejercicio2_2023-1;deepseek/deepseek-chat-v3.1:free;Error Sintaxis;11.03;Si;4008;244
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-14b:free;Error Sintaxis;11.35;Si;4141;591
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-4b-it:free;Error Sintaxis;3.88;Si;4040;0
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-coder:free;Error Sintaxis;11.87;Si;3953;442
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-30b-a3b:free;Error Logico;41.27;Si;4175;2982
Contexto2023-2;Ejercicio2_2023-2;x-ai/grok-4-fast:free;Respuesta Incorrecta;19.76;Si;3727;986
Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Sintaxis;14.46;Si;3844;2914
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-14b:free;Respuesta Correcta;119.03;Si;4156;8545
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-27b-it:free;Respuesta Incorrecta;12.12;Si;4278;270
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-12b-it:free;Elementos Extras;3.42;Si;3867;0
Contexto2023-2;Ejercicio1_2023-2;x-ai/grok-4-fast:free;Respuesta Correcta;7.11;Si;3720;760
Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-4b-it:free;Error Logico;4.51;Si;3870;0
Contexto2023-2;Ejercicio3_2023-2;deepseek/deepseek-chat-v3.1:free;Error Logico;9.70;Si;3760;164
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-12b-it:free;Error Sintaxis;4.39;Si;3753;0
Contexto2023-1;Ejercicio2_2023-1;x-ai/grok-4-fast:free;Error Sintaxis;8.09;Si;3878;790
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-14b:free;Respuesta Correcta;7.36;Si;4061;574
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-12b-it:free;Respuesta Incorrecta;6.24;Si;4197;0
Contexto2023-1;Ejercicio2_2023-1;x-ai/grok-4-fast:free;Respuesta Correcta;9.04;Si;3959;504
Contexto2023-1;Ejercicio1_2023-1;mistralai/mistral-nemo:free;Error Sintaxis;7.23;Si;3999;285
Contexto2023-2;Ejercicio3_2023-2;mistralai/mistral-nemo:free;Respuesta Correcta;7.25;Si;3773;165
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-8b:free;Error Sintaxis;33.43;Si;4141;1801
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-27b-it:free;Elementos Extras;10.12;Si;4296;188
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-30b-a3b:free;Error Sintaxis;21.93;Si;3848;1506
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-14b:free;Respuesta Incorrecta;19.25;Si;3939;1496
Contexto2023-1;Ejercicio1_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Logico;30.39;Si;4056;3306
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-27b-it:free;Error Logico;6.76;Si;4293;0
Contexto2023-2;Ejercicio2_2023-2;deepseek/deepseek-chat-v3.1:free;Elementos Extras;13.48;Si;3972;193
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-4b-it:free;Elementos Extras;4.16;Si;3867;0
Contexto2023-2;Ejercicio3_2023-2;meta-llama/llama-4-maverick:free;Respuesta Correcta;3.99;Si;3501;139
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-4b-it:free;Respuesta Incorrecta;4.66;Si;4197;0
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-12b-it:free;Elementos Extras;5.05;Si;4296;147
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-27b-it:free;Error Sintaxis;4.58;Si;3905;0
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-4b-it:free;Error Sintaxis;5.45;Si;3753;0
Contexto2023-1;Ejercicio1_2023-1;meta-llama/llama-4-maverick:free;Error Sintaxis;5.20;Si;3650;132
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-12b-it:free;Error Logico;7.41;Si;4219;0
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-8b:free;Respuesta Correcta;14.57;Si;4061;559
Contexto2023-2;Ejercicio3_2023-2;x-ai/grok-4-fast:free;Error Logico;12.86;Si;3615;1072
Contexto2023-2;Ejercicio1_2023-2;mistralai/mistral-nemo:free;Elementos Extras;5.40;Si;3849;164
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-8b:free;Respuesta Correcta;80.58;Si;4156;5794
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-235b-a22b:free;Error Sintaxis;35.38;Si;4141;2644
Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Respuesta Correcta;14.73;Si;3909;3872
Contexto2023-2;Ejercicio2_2023-2;x-ai/grok-4-fast:free;Elementos Extras;7.39;Si;3831;740
Contexto2023-2;Ejercicio2_2023-2;mistralai/mistral-nemo:free;Error Logico;9.73;Si;3839;259
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-14b:free;Respuesta Correcta;30.70;Si;3862;1876
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-30b-a3b:free;Error Logico;25.09;Si;4060;1501
Contexto2023-1;Ejercicio2_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Respuesta Correcta;8.40;Si;4192;472
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-8b:free;Respuesta Incorrecta;33.66;Si;3939;1793
Contexto2023-1;Ejercicio2_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Sintaxis;3.44;Si;4108;575
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-coder:free;Error Sintaxis;0.00;No;0;0
Contexto2023-1;Ejercicio2_2023-1;mistralai/mistral-nemo:free;Respuesta Incorrecta;5.27;Si;4148;169
Contexto2023-2;Ejercicio3_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Logico;2.67;Si;3815;360
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-27b-it:free;Error Logico;0.00;No;0;0
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-4b-it:free;Elementos Extras;6.36;Si;4216;0
Contexto2023-2;Ejercicio1_2023-2;meta-llama/llama-4-maverick:free;Elementos Extras;3.74;Si;3580;116
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-12b-it:free;Error Sintaxis;5.62;Si;3782;0
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-14b:free;Error Sintaxis;4.99;Si;4037;239
Contexto2023-2;Ejercicio3_2023-2;mistralai/mistral-nemo:free;Error Sintaxis;5.69;Si;3739;254
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-4b-it:free;Error Logico;4.81;Si;4219;0
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-30b-a3b:free;Respuesta Correcta;7.88;Si;3913;445
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-30b-a3b:free;Respuesta Correcta;12.52;Si;4196;698
Contexto2023-2;Ejercicio2_2023-2;meta-llama/llama-4-maverick:free;Error Logico;4.30;Si;3572;203
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-30b-a3b:free;Error Sintaxis;8.73;Si;4112;436
Contexto2023-2;Ejercicio2_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Respuesta Incorrecta;146.73;Si;3915;2474
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-235b-a22b:free;Respuesta Correcta;51.96;Si;4061;3439
Contexto2023-2;Ejercicio2_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Elementos Extras;28.69;Si;4025;3327
Contexto2023-1;Ejercicio3_2023-1;deepseek/deepseek-chat-v3.1:free;Elementos Extras;9.61;Si;4076;119
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-8b:free;Respuesta Correcta;36.28;Si;3862;2659
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-235b-a22b:free;Respuesta Correcta;65.73;Si;4156;4565
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-12b-it:free;Error Logico;4.07;Si;4067;0
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-coder:free;Respuesta Correcta;0.00;No;0;0
Contexto2023-1;Ejercicio2_2023-1;meta-llama/llama-4-maverick:free;Respuesta Incorrecta;4.90;Si;3790;191
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-27b-it:free;Respuesta Correcta;2.45;Si;3977;0
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-27b-it:free;Respuesta Correcta;3.41;Si;4283;0
Contexto2023-2;Ejercicio3_2023-2;meta-llama/llama-4-maverick:free;Error Sintaxis;5.16;Si;3463;321
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-4b-it:free;Error Sintaxis;5.04;Si;3782;0
Contexto2023-1;Ejercicio2_2023-1;mistralai/mistral-nemo:free;Elementos Extras;5.44;Si;4163;145
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-coder:free;Respuesta Correcta;0.00;No;0;0
Contexto2023-1;Ejercicio3_2023-1;mistralai/mistral-nemo:free;Error Logico;7.16;Si;4158;273
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-12b-it:free;Respuesta Correcta;6.67;Si;3985;144
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-235b-a22b:free;Respuesta Correcta;46.77;Si;4879;1823
