NombreDB;NombreEjercicio;ModeloUsado;EvaluandoCategoria;DuracionTiempoRespuesta;ExitoRespuesta;TokensEntrada;TokensSalida
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-27b-it:free;Respuesta Correcta;3.50;Si;4281;97
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-4b-it:free;Elementos Extras;4.08;Si;4083;0
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-12b-it:free;Respuesta Incorrecta;5.61;Si;3957;170
Contexto2023-2;Ejercicio2_2023-2;mistralai/mistral-nemo:free;Respuesta Correcta;4.19;Si;3899;131
Contexto2023-1;Ejercicio1_2023-1;x-ai/grok-4-fast:free;Respuesta Correcta;7.83;Si;3829;420
Contexto2023-1;Ejercicio1_2023-1;mistralai/mistral-nemo:free;Respuesta Incorrecta;5.48;Si;4038;160
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-coder:free;Elementos Extras;6.48;Si;4028;304
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-235b-a22b:free;Error Sintaxis;12.09;Si;4112;476
Contexto2023-2;Ejercicio1_2023-2;x-ai/grok-4-fast:free;Elementos Extras;45.86;Si;3738;1264
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-235b-a22b:free;Error Logico;24.24;Si;3819;1091
Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-4b-it:free;Error Sintaxis;6.36;Si;3912;0
Contexto2023-1;Ejercicio2_2023-1;deepseek/deepseek-chat-v3.1:free;Respuesta Incorrecta;6.99;Si;4076;165
Contexto2023-1;Ejercicio1_2023-1;deepseek/deepseek-chat-v3.1:free;Error Sintaxis;9.80;Si;3931;209
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-30b-a3b:free;Error Sintaxis;11.75;Si;4141;701
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-14b:free;Respuesta Incorrecta;91.32;Si;4115;5688
Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Respuesta Incorrecta;25.02;Si;3935;2302
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-4b-it:free;Respuesta Incorrecta;0.00;No;0;0
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-4b-it:free;Error Logico;0.00;No;0;0
Contexto2023-2;Ejercicio2_2023-2;meta-llama/llama-4-maverick:free;Respuesta Correcta;0.00;No;0;0
Contexto2023-1;Ejercicio1_2023-1;meta-llama/llama-4-maverick:free;Respuesta Incorrecta;0.00;No;0;0
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-coder:free;Error Sintaxis;0.00;No;0;0
Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Elementos Extras;10.46;Si;3928;787
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-12b-it:free;Respuesta Correcta;6.65;Si;4281;225
Contexto2023-2;Ejercicio2_2023-2;mistralai/mistral-nemo:free;Error Sintaxis;8.73;Si;3877;370
Contexto2023-1;Ejercicio1_2023-1;mistralai/mistral-nemo:free;Elementos Extras;5.20;Si;4037;170
Contexto2023-1;Ejercicio1_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Respuesta Correcta;15.40;Si;4057;1270
Contexto2023-2;Ejercicio3_2023-2;deepseek/deepseek-chat-v3.1:free;Respuesta Correcta;10.35;Si;3804;132
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-14b:free;Elementos Extras;81.85;Si;4171;4970
Contexto2023-2;Ejercicio3_2023-2;mistralai/mistral-nemo:free;Respuesta Incorrecta;8.32;Si;3794;151
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-coder:free;Error Logico;5.71;Si;3818;231
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-30b-a3b:free;Respuesta Incorrecta;46.68;Si;3939;2335
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-14b:free;Error Logico;11.30;Si;3895;652
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-27b-it:free;Error Sintaxis;5.39;Si;4263;230
Contexto2023-1;Ejercicio2_2023-1;x-ai/grok-4-fast:free;Respuesta Incorrecta;19.03;Si;3946;1027
Contexto2023-1;Ejercicio1_2023-1;x-ai/grok-4-fast:free;Error Sintaxis;13.64;Si;3806;695
Contexto2023-2;Ejercicio2_2023-2;x-ai/grok-4-fast:free;Error Logico;19.73;Si;3727;1054
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-8b:free;Respuesta Incorrecta;62.28;Si;4115;4794
Contexto2023-2;Ejercicio3_2023-2;meta-llama/llama-4-maverick:free;Respuesta Incorrecta;0.00;No;0;0
Contexto2023-1;Ejercicio2_2023-1;mistralai/mistral-nemo:free;Error Logico;5.75;Si;4148;215
Contexto2023-1;Ejercicio1_2023-1;meta-llama/llama-4-maverick:free;Elementos Extras;0.00;No;0;0
Contexto2023-2;Ejercicio2_2023-2;meta-llama/llama-4-maverick:free;Error Sintaxis;0.00;No;0;0
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-27b-it:free;Respuesta Incorrecta;3.78;Si;4009;141
Contexto2023-1;Ejercicio2_2023-1;deepseek/deepseek-chat-v3.1:free;Elementos Extras;6.28;Si;4093;111
Contexto2023-2;Ejercicio3_2023-2;x-ai/grok-4-fast:free;Respuesta Correcta;5.27;Si;3657;359
Contexto2023-2;Ejercicio3_2023-2;deepseek/deepseek-chat-v3.1:free;Error Sintaxis;13.11;Si;3763;258
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-4b-it:free;Respuesta Correcta;4.66;Si;4200;0
Contexto2023-1;Ejercicio1_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Sintaxis;6.26;Si;4033;452
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-14b:free;Respuesta Correcta;18.69;Si;3986;1102
Contexto2023-2;Ejercicio2_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Logico;5.71;Si;3915;443
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-14b:free;Respuesta Incorrecta;13.15;Si;4077;715
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-8b:free;Error Logico;20.58;Si;3895;1471
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-30b-a3b:free;Respuesta Correcta;8.68;Si;4061;386
Contexto2023-1;Ejercicio2_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Respuesta Incorrecta;7.61;Si;4178;348
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-12b-it:free;Error Sintaxis;7.52;Si;4263;215
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-30b-a3b:free;Elementos Extras;11.08;Si;3932;719
Contexto2023-1;Ejercicio2_2023-1;meta-llama/llama-4-maverick:free;Error Logico;0.00;No;0;0
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-12b-it:free;Respuesta Incorrecta;5.12;Si;3872;0
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-27b-it:free;Respuesta Correcta;3.07;Si;4145;71
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-27b-it:free;Elementos Extras;4.14;Si;4006;118
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-4b-it:free;Error Sintaxis;6.79;Si;4182;0
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-235b-a22b:free;Respuesta Incorrecta;0.00;No;0;0
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-8b:free;Respuesta Incorrecta;8.96;Si;4077;606
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-30b-a3b:free;Error Logico;8.40;Si;3919;374
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-14b:free;Error Sintaxis;16.71;Si;3954;1002
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-30b-a3b:free;Error Sintaxis;11.30;Si;4037;733
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-14b:free;Respuesta Incorrecta;15.08;Si;3888;945
Contexto2023-2;Ejercicio3_2023-2;x-ai/grok-4-fast:free;Error Sintaxis;13.35;Si;3619;937
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-14b:free;Elementos Extras;17.14;Si;4076;1065
Contexto2023-1;Ejercicio2_2023-1;x-ai/grok-4-fast:free;Elementos Extras;17.29;Si;3961;1171
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-235b-a22b:free;Error Logico;51.50;Si;4693;1442
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-8b:free;Elementos Extras;125.61;Si;4171;9132
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-4b-it:free;Respuesta Incorrecta;5.21;Si;3872;0
Contexto2023-1;Ejercicio3_2023-1;mistralai/mistral-nemo:free;Respuesta Correcta;8.15;Si;4139;200
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-8b:free;Respuesta Correcta;54.44;Si;3986;4201
Contexto2023-2;Ejercicio3_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Respuesta Correcta;29.49;Si;3858;2832
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-coder:free;Respuesta Incorrecta;0.00;No;0;0
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-coder:free;Error Logico;0.00;No;0;0
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-12b-it:free;Elementos Extras;4.08;Si;3867;0
Contexto2023-1;Ejercicio3_2023-1;meta-llama/llama-4-maverick:free;Respuesta Correcta;0.00;No;0;0
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-4b-it:free;Elementos Extras;0.00;No;0;0
Contexto2023-2;Ejercicio1_2023-2;mistralai/mistral-nemo:free;Respuesta Incorrecta;7.47;Si;3848;311
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-14b:free;Error Logico;17.23;Si;4182;1003
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-27b-it:free;Error Sintaxis;4.76;Si;4117;172
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-12b-it:free;Respuesta Correcta;10.06;Si;4145;264
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-8b:free;Error Sintaxis;26.12;Si;3954;1923
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-235b-a22b:free;Elementos Extras;25.25;Si;4969;728
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-8b:free;Elementos Extras;11.39;Si;4076;701
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-235b-a22b:free;Respuesta Correcta;20.36;Si;4784;450
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-235b-a22b:free;Respuesta Incorrecta;61.15;Si;4875;1718
Contexto2023-2;Ejercicio3_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Sintaxis;5.41;Si;3818;446
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-8b:free;Respuesta Incorrecta;22.58;Si;3888;1575
Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-27b-it:free;Error Logico;5.05;Si;4001;161
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-30b-a3b:free;Respuesta Correcta;27.93;Si;3862;1364
Contexto2023-1;Ejercicio3_2023-1;mistralai/mistral-nemo:free;Error Sintaxis;7.71;Si;4122;281
Contexto2023-1;Ejercicio2_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Elementos Extras;18.55;Si;4196;1742
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-30b-a3b:free;Respuesta Incorrecta;115.72;Si;4182;6584
Contexto2023-1;Ejercicio3_2023-1;deepseek/deepseek-chat-v3.1:free;Error Logico;7.98;Si;4081;180
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-coder:free;Elementos Extras;0.00;No;0;0
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-coder:free;Respuesta Incorrecta;0.00;No;0;0
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-coder:free;Respuesta Correcta;0.00;No;0;0
Contexto2023-1;Ejercicio3_2023-1;meta-llama/llama-4-maverick:free;Error Sintaxis;0.00;No;0;0
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-27b-it:free;Respuesta Correcta;3.20;Si;3927;14
Contexto2023-2;Ejercicio1_2023-2;mistralai/mistral-nemo:free;Elementos Extras;5.30;Si;3849;158
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-27b-it:free;Respuesta Incorrecta;3.20;Si;4278;75
Contexto2023-2;Ejercicio1_2023-2;meta-llama/llama-4-maverick:free;Respuesta Incorrecta;0.00;No;0;0
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-235b-a22b:free;Elementos Extras;12.24;Si;4076;536
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-4b-it:free;Respuesta Correcta;3.92;Si;4068;0
Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-12b-it:free;Error Logico;7.54;Si;4001;231
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-235b-a22b:free;Respuesta Incorrecta;18.39;Si;4686;447
Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-chat-v3.1:free;Error Sintaxis;9.49;Si;3802;216
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-8b:free;Error Logico;28.67;Si;4182;2006
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-12b-it:free;Error Sintaxis;6.25;Si;4117;188
Contexto2023-1;Ejercicio3_2023-1;x-ai/grok-4-fast:free;Error Logico;26.86;Si;3958;713
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-30b-a3b:free;Elementos Extras;36.26;Si;4200;2415
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-30b-a3b:free;Error Sintaxis;15.80;Si;3822;799
Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-chat-v3.1:free;Respuesta Correcta;2.71;Si;3868;14
Contexto2023-2;Ejercicio1_2023-2;meta-llama/llama-4-maverick:free;Elementos Extras;0.00;No;0;0
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-coder:free;Respuesta Incorrecta;0.00;No;0;0
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-coder:free;Elementos Extras;0.00;No;0;0
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-12b-it:free;Respuesta Correcta;4.11;Si;3794;0
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-12b-it:free;Respuesta Incorrecta;3.64;Si;4197;0
Contexto2023-1;Ejercicio1_2023-1;mistralai/mistral-nemo:free;Respuesta Correcta;3.00;Si;4023;39
Contexto2023-1;Ejercicio1_2023-1;deepseek/deepseek-chat-v3.1:free;Error Logico;6.41;Si;3953;140
Contexto2023-1;Ejercicio2_2023-1;deepseek/deepseek-chat-v3.1:free;Respuesta Correcta;0.00;No;0;0
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-4b-it:free;Error Sintaxis;3.83;Si;4040;0
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-27b-it:free;Elementos Extras;3.79;Si;4296;108
Contexto2023-1;Ejercicio3_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Logico;38.43;Si;4171;3418
Contexto2023-2;Ejercicio1_2023-2;x-ai/grok-4-fast:free;Error Sintaxis;46.85;Si;3657;1489
Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-4b-it:free;Error Logico;4.82;Si;3870;0
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-14b:free;Error Sintaxis;17.00;Si;4141;1008
Contexto2023-2;Ejercicio2_2023-2;deepseek/deepseek-chat-v3.1:free;Respuesta Incorrecta;8.54;Si;3866;176
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-14b:free;Respuesta Incorrecta;40.62;Si;3939;2566
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-14b:free;Respuesta Correcta;92.69;Si;4156;5725
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-27b-it:free;Error Sintaxis;4.65;Si;3882;168
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-235b-a22b:free;Error Sintaxis;108.38;Si;4752;3095
Contexto2023-2;Ejercicio3_2023-2;deepseek/deepseek-chat-v3.1:free;Error Logico;6.86;Si;3760;153
Contexto2023-1;Ejercicio1_2023-1;meta-llama/llama-4-maverick:free;Respuesta Correcta;0.00;No;0;0
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-coder:free;Error Sintaxis;0.00;No;0;0
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-4b-it:free;Respuesta Correcta;3.97;Si;3794;0
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-4b-it:free;Respuesta Incorrecta;4.75;Si;4197;0
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-12b-it:free;Error Sintaxis;4.96;Si;3753;0
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-8b:free;Respuesta Correcta;40.45;Si;4156;2965
Contexto2023-2;Ejercicio2_2023-2;mistralai/mistral-nemo:free;Error Logico;5.50;Si;3839;193
Contexto2023-1;Ejercicio1_2023-1;mistralai/mistral-nemo:free;Error Sintaxis;6.67;Si;3999;249
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-8b:free;Error Sintaxis;28.30;Si;4141;2199
Contexto2023-2;Ejercicio1_2023-2;x-ai/grok-4-fast:free;Respuesta Correcta;40.68;Si;3720;2439
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-14b:free;Elementos Extras;15.21;Si;3932;660
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-12b-it:free;Elementos Extras;8.16;Si;4296;193
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-235b-a22b:free;Error Logico;72.86;Si;4182;3857
Contexto2023-2;Ejercicio2_2023-2;deepseek/deepseek-chat-v3.1:free;Elementos Extras;10.46;Si;3972;195
Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Sintaxis;49.86;Si;3844;3919
Contexto2023-1;Ejercicio1_2023-1;x-ai/grok-4-fast:free;Error Logico;18.01;Si;3828;614
Contexto2023-1;Ejercicio2_2023-1;x-ai/grok-4-fast:free;Respuesta Correcta;12.49;Si;3959;389
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-coder:free;Error Logico;0.00;No;0;0
Contexto2023-1;Ejercicio2_2023-1;mistralai/mistral-nemo:free;Respuesta Incorrecta;4.39;Si;4148;131
Contexto2023-2;Ejercicio2_2023-2;meta-llama/llama-4-maverick:free;Error Logico;0.00;No;0;0
Contexto2023-1;Ejercicio1_2023-1;meta-llama/llama-4-maverick:free;Error Sintaxis;0.00;No;0;0
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-4b-it:free;Error Sintaxis;4.11;Si;3753;0
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-4b-it:free;Elementos Extras;6.15;Si;4216;0
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-14b:free;Respuesta Correcta;8.90;Si;4061;398
Contexto2023-1;Ejercicio2_2023-1;meta-llama/llama-4-maverick:free;Respuesta Incorrecta;0.00;No;0;0
Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Respuesta Correcta;48.44;Si;3909;4034
Contexto2023-2;Ejercicio2_2023-2;x-ai/grok-4-fast:free;Elementos Extras;10.57;Si;3831;1237
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-30b-a3b:free;Error Sintaxis;13.93;Si;3848;777
Contexto2023-1;Ejercicio2_2023-1;deepseek/deepseek-chat-v3.1:free;Error Sintaxis;19.17;Si;4008;229
Contexto2023-2;Ejercicio3_2023-2;x-ai/grok-4-fast:free;Error Logico;30.60;Si;3615;1198
Contexto2023-1;Ejercicio1_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Logico;29.01;Si;4056;2282
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-8b:free;Elementos Extras;13.77;Si;3932;988
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-14b:free;Error Sintaxis;14.36;Si;4037;758
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-8b:free;Respuesta Incorrecta;76.62;Si;3939;5523
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-30b-a3b:free;Error Logico;98.57;Si;4175;6818
Contexto2023-2;Ejercicio2_2023-2;x-ai/grok-4-fast:free;Respuesta Incorrecta;28.11;Si;3727;1195
Contexto2023-2;Ejercicio3_2023-2;mistralai/mistral-nemo:free;Respuesta Correcta;12.87;Si;3773;577
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-14b:free;Error Logico;16.08;Si;3919;849
Contexto2023-1;Ejercicio2_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Respuesta Correcta;11.12;Si;4192;689
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-235b-a22b:free;Respuesta Correcta;66.03;Si;4954;1927
Contexto2023-2;Ejercicio3_2023-2;meta-llama/llama-4-maverick:free;Respuesta Correcta;0.00;No;0;0
Contexto2023-2;Ejercicio3_2023-2;mistralai/mistral-nemo:free;Error Sintaxis;6.89;Si;3739;249
Contexto2023-1;Ejercicio2_2023-1;mistralai/mistral-nemo:free;Elementos Extras;5.80;Si;4163;185
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-coder:free;Respuesta Correcta;0.00;No;0;0
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-27b-it:free;Error Logico;4.68;Si;4301;204
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-27b-it:free;Error Sintaxis;7.24;Si;3913;217
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-30b-a3b:free;Respuesta Correcta;9.09;Si;3913;473
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-8b:free;Respuesta Correcta;11.17;Si;4061;671
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-30b-a3b:free;Error Logico;8.66;Si;4060;466
Contexto2023-1;Ejercicio2_2023-1;x-ai/grok-4-fast:free;Error Sintaxis;11.31;Si;3878;624
Contexto2023-2;Ejercicio3_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Logico;31.43;Si;3815;2035
Contexto2023-2;Ejercicio2_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Elementos Extras;31.86;Si;4025;2065
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-14b:free;Respuesta Correcta;20.30;Si;3862;1051
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-30b-a3b:free;Respuesta Correcta;10.50;Si;4196;426
Contexto2023-2;Ejercicio2_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Respuesta Incorrecta;37.30;Si;3915;3015
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-8b:free;Error Logico;42.26;Si;3919;3344
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-235b-a22b:free;Error Sintaxis;80.15;Si;4939;2284
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-8b:free;Error Sintaxis;16.67;Si;4037;1169
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-235b-a22b:free;Elementos Extras;44.82;Si;3932;2358
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-14b:free;Respuesta Incorrecta;18.58;Si;4182;1077
Contexto2023-2;Ejercicio3_2023-2;meta-llama/llama-4-maverick:free;Error Sintaxis;0.00;No;0;0
Contexto2023-1;Ejercicio2_2023-1;meta-llama/llama-4-maverick:free;Elementos Extras;0.00;No;0;0
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-30b-a3b:free;Respuesta Incorrecta;0.00;No;0;0
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-coder:free;Error Sintaxis;0.00;No;0;0
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-30b-a3b:free;Error Logico;0.00;No;0;0
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-coder:free;Elementos Extras;0.00;No;0;0
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-27b-it:free;Respuesta Correcta;2.33;Si;3985;13
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-12b-it:free;Error Sintaxis;5.10;Si;3782;0
Contexto2023-1;Ejercicio3_2023-1;deepseek/deepseek-chat-v3.1:free;Respuesta Incorrecta;13.11;Si;4017;186
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-12b-it:free;Error Logico;5.07;Si;4219;0
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-8b:free;Respuesta Incorrecta;24.95;Si;4182;1942
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-27b-it:free;Error Logico;4.81;Si;4145;141
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-235b-a22b:free;Respuesta Incorrecta;106.90;Si;3939;5767
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-14b:free;Elementos Extras;16.08;Si;4200;845
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-27b-it:free;Respuesta Correcta;3.06;Si;4291;14
