ID_Unico;NombreDB;NombreEjercicio;ModeloUsado;EvaluandoCategoria;DuracionTiempoRespuesta;ExitoRespuesta;TokensEntrada;TokensSalida;RespuestaEstudiante_Preview;RespuestaModelo_Preview;FechaHora;ArchivoRespuesta;ArchivoRevisionCompleta;ErroresCorrectamenteIdentificados;ErroresInventados;Comentarios;Puntuacion_Manual
Contexto2023-2_Ejercicio3_2023-2_Error Logico_qwen_qwen3-8b_free;Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-8b:free;Error Logico;22.13;Si;3819;1489;- Respuesta estudiante -  SELECT academico.nombre FROM tesis INNER JOIN academico ON academico.id = ref_tutor  INNER JOIN estudiante ON estudiante.id = ref_estudiante WHERE anio_ingreso = 2018,   - Ta;Errores identificados: 1. Lógico: Uso incorrecto del año de ingreso.    - ¿Por qué es un error? La condición WHERE filtra estudiantes con anio_ingreso = 2018, pero el enunciado solicita estudiantes qu;2025-09-28 23:55:41;Contexto2023-2/Ejercicio3_2023-2/Error Logico/qwen_qwen3-8b_free/respuestamodelo.txt;revision_manual/Contexto2023-2_Ejercicio3_2023-2_Error Logico_qwen_qwen3-8b_free.txt;;;;
Contexto2023-1_Ejercicio3_2023-1_Respuesta Correcta_qwen_qwen3-30b-a3b_free;Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-30b-a3b:free;Respuesta Correcta;11.65;Si;4156;551;- Respuesta estudiante -  SELECT cliente.nombre FROM cliente INNER JOIN ticket ON ticket.refcliente = cliente.id GROUP BY cliente.id, cliente.nombre HAVING COUNT(ticket.id) = (     SELECT MAX(nro_tick;Errores identificados: 1. Conceptual: Uso de subconsulta en HAVING para obtener MAX(nro_tickets).    - ¿Por qué es un error? La consulta es funcional y devuelve el resultado esperado, pero la estructu;2025-09-28 23:55:41;Contexto2023-1/Ejercicio3_2023-1/Respuesta Correcta/qwen_qwen3-30b-a3b_free/respuestamodelo.txt;revision_manual/Contexto2023-1_Ejercicio3_2023-1_Respuesta Correcta_qwen_qwen3-30b-a3b_free.txt;;;;
Contexto2023-2_Ejercicio1_2023-2_Elementos Extras_deepseek_deepseek-chat-v3.1_free;Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-chat-v3.1:free;Elementos Extras;10.56;Si;3889;159;- Respuesta estudiante -  SELECT academico.nombre AS nombre_academico, COUNT(tesis.ref_estudiante) AS nro_estudiantes FROM academico INNER JOIN tesis ON tesis.ref_tutor = academico.id WHERE academico.;Errores identificados: 1. Error conceptual: Filtro innecesario por área.    - ¿Por qué es un error? El enunciado no solicita filtrar por área, solo pide contar los estudiantes de los cuales cada acadé;2025-09-28 23:55:41;Contexto2023-2/Ejercicio1_2023-2/Elementos Extras/deepseek_deepseek-chat-v3.1_free/respuestamodelo.txt;revision_manual/Contexto2023-2_Ejercicio1_2023-2_Elementos Extras_deepseek_deepseek-chat-v3.1_free.txt;;;;
Contexto2023-1_Ejercicio3_2023-1_Error Sintaxis_deepseek_deepseek-r1-0528-qwen3-8b_free;Contexto2023-1;Ejercicio3_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Sintaxis;46.46;Si;4137;4136;- Respuesta estudiante -  SELECT cliente.nombre FROM cliente INNER JOIN ticket ON ticket.refcliente == cliente.id GROUP BY cliente.id, cliente.nombre, WHERE COUNT(ticket.id) == (     SELECT MAX(nro_ti;Errores identificados:  1. Sintaxis: Mal uso de claúsulas y operadores no estándar.    - ¿Por qué es un error? La consulta tiene una sentencia terminada incorrectamente con un punto y coma después del;2025-09-28 23:55:41;Contexto2023-1/Ejercicio3_2023-1/Error Sintaxis/deepseek_deepseek-r1-0528-qwen3-8b_free/respuestamodelo.txt;revision_manual/Contexto2023-1_Ejercicio3_2023-1_Error Sintaxis_deepseek_deepseek-r1-0528-qwen3-8b_free.txt;;;;
Contexto2023-1_Ejercicio1_2023-1_Elementos Extras_google_gemma-3-12b-it_free;Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-12b-it:free;Elementos Extras;22.86;Si;4160;331;- Respuesta estudiante -  SELECT DISTINCT viaje.destino FROM cliente JOIN ticket ON ticket.refcliente = cliente.id JOIN viaje ON ticket.refviaje = viaje.id WHERE cliente.nombre = 'Juan' AND cliente.no;,  Errores identificados:    [1. Error Lógico]: El uso de 'SUM(v.cantidad) > 5' en la cláusula 'HAVING' está mal empleado. Debe estar en la cláusula 'WHERE' para incluir autores con más de 5 ventas to;2025-09-28 23:55:41;Contexto2023-1/Ejercicio1_2023-1/Elementos Extras/google_gemma-3-12b-it_free/respuestamodelo.txt;revision_manual/Contexto2023-1_Ejercicio1_2023-1_Elementos Extras_google_gemma-3-12b-it_free.txt;;;;
Contexto2023-2_Ejercicio2_2023-2_Error Logico_deepseek_deepseek-chat-v3.1_free;Contexto2023-2;Ejercicio2_2023-2;deepseek/deepseek-chat-v3.1:free;Error Logico;5.93;Si;3866;161;- Respuesta estudiante -  SELECT academico.nombre AS rev_nombre FROM academico JOIN revisor ON revisor.ref_academico = academico.id GROUP BY academico.id, academico.nombre ORDER BY COUNT(revisor.ref_t;Errores identificados: 1. Error de Sintaxis: Uso de cláusulas prohibidas ORDER BY y LIMIT.    - ¿Por qué es un error? El enunciado prohíbe explícitamente el uso de ORDER BY, OFFSET o LIMIT, y el estud;2025-09-28 23:55:47;Contexto2023-2/Ejercicio2_2023-2/Error Logico/deepseek_deepseek-chat-v3.1_free/respuestamodelo.txt;revision_manual/Contexto2023-2_Ejercicio2_2023-2_Error Logico_deepseek_deepseek-chat-v3.1_free.txt;;;;
Contexto2023-1_Ejercicio2_2023-1_Error Logico_google_gemma-3-12b-it_free;Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-12b-it:free;Error Logico;4.93;Si;4197;0;- Respuesta estudiante -  select cliente.nombre, count(viaje.destino)  from cliente, viaje, ticket where  ticket.refviaje = viaje.id and ticket.refcliente = cliente.id group by cliente.nombre,  - Tabl;Errores identificados: 1. Lógico: Contando destinos duplicados.    - ¿Por qué es un error? La consulta no utiliza `DISTINCT` en la función `COUNT(viaje.destino)`, lo que significa que si un cliente vi;2025-09-28 23:55:47;Contexto2023-1/Ejercicio2_2023-1/Error Logico/google_gemma-3-12b-it_free/respuestamodelo.txt;revision_manual/Contexto2023-1_Ejercicio2_2023-1_Error Logico_google_gemma-3-12b-it_free.txt;;;;
Contexto2023-1_Ejercicio3_2023-1_Respuesta Correcta_google_gemma-3-27b-it_free;Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-27b-it:free;Respuesta Correcta;3.50;Si;4281;97;- Respuesta estudiante -  SELECT cliente.nombre FROM cliente INNER JOIN ticket ON ticket.refcliente = cliente.id GROUP BY cliente.id, cliente.nombre HAVING COUNT(ticket.id) = (     SELECT MAX(nro_tick;Errores identificados: 1. Conceptual: Uso de subconsulta innecesaria para obtener el máximo número de tickets.    - ¿Por qué es un error? La subconsulta que calcula el máximo número de tickets es func;2025-09-28 23:55:48;Contexto2023-1/Ejercicio3_2023-1/Respuesta Correcta/google_gemma-3-27b-it_free/respuestamodelo.txt;revision_manual/Contexto2023-1_Ejercicio3_2023-1_Respuesta Correcta_google_gemma-3-27b-it_free.txt;;;;
Contexto2023-1_Ejercicio1_2023-1_Elementos Extras_google_gemma-3-4b-it_free;Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-4b-it:free;Elementos Extras;4.08;Si;4083;0;- Respuesta estudiante -  SELECT DISTINCT viaje.destino FROM cliente JOIN ticket ON ticket.refcliente = cliente.id JOIN viaje ON ticket.refviaje = viaje.id WHERE cliente.nombre = 'Juan' AND cliente.no;Errores identificados: 1.  logico: Uso innecesario de JOIN con la tabla cliente.     - ¿Por qué es un error? La tabla cliente no es necesaria para obtener los campos solicitados (destino está en la ta;2025-09-28 23:55:48;Contexto2023-1/Ejercicio1_2023-1/Elementos Extras/google_gemma-3-4b-it_free/respuestamodelo.txt;revision_manual/Contexto2023-1_Ejercicio1_2023-1_Elementos Extras_google_gemma-3-4b-it_free.txt;;;;
Contexto2023-2_Ejercicio3_2023-2_Respuesta Incorrecta_google_gemma-3-12b-it_free;Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-12b-it:free;Respuesta Incorrecta;5.61;Si;3957;170;- Respuesta estudiante -  SELECT academico.nombre FROM tesis INNER JOIN academico ON academico.id = ref_tutor  INNER JOIN estudiante ON estudiante.id = ref_estudiante WHERE anio_ingreso = 2019,  - Tab;Errores identificados:     [1. Error Lógico]: JOIN inesperado           ¿Por qué es un error?: La consulta incluye un `JOIN` innecesario entre `tésis` y `academico`.  La condición `academico.id = tesi;2025-09-28 23:55:48;Contexto2023-2/Ejercicio3_2023-2/Respuesta Incorrecta/google_gemma-3-12b-it_free/respuestamodelo.txt;revision_manual/Contexto2023-2_Ejercicio3_2023-2_Respuesta Incorrecta_google_gemma-3-12b-it_free.txt;;;;
Contexto2023-2_Ejercicio2_2023-2_Respuesta Correcta_mistralai_mistral-nemo_free;Contexto2023-2;Ejercicio2_2023-2;mistralai/mistral-nemo:free;Respuesta Correcta;4.19;Si;3899;131;- Respuesta estudiante -  SELECT academico.nombre AS nombre_academico FROM academico INNER JOIN revisor ON revisor.ref_academico = academico.id GROUP BY academico.id, academico.nombre HAVING COUNT(rev;Errores identificados: 1. Conceptual: La respuesta del estudiante es correcta en términos de resultados, pero hay una forma más eficiente de escribir la consulta.    - ¿Por qué es un error?: La consul;2025-09-28 23:55:49;Contexto2023-2/Ejercicio2_2023-2/Respuesta Correcta/mistralai_mistral-nemo_free/respuestamodelo.txt;revision_manual/Contexto2023-2_Ejercicio2_2023-2_Respuesta Correcta_mistralai_mistral-nemo_free.txt;;;;
Contexto2023-1_Ejercicio1_2023-1_Respuesta Correcta_x-ai_grok-4-fast_free;Contexto2023-1;Ejercicio1_2023-1;x-ai/grok-4-fast:free;Respuesta Correcta;7.83;Si;3829;420;- Respuesta estudiante -  SELECT DISTINCT viaje.destino FROM cliente JOIN ticket ON ticket.refcliente = cliente.id JOIN viaje ON ticket.refviaje = viaje.id WHERE cliente.nombre = 'Juan',  - Tabla resu;No hay error encontrado.;2025-09-28 23:55:50;Contexto2023-1/Ejercicio1_2023-1/Respuesta Correcta/x-ai_grok-4-fast_free/respuestamodelo.txt;revision_manual/Contexto2023-1_Ejercicio1_2023-1_Respuesta Correcta_x-ai_grok-4-fast_free.txt;;;;
Contexto2023-1_Ejercicio1_2023-1_Respuesta Incorrecta_mistralai_mistral-nemo_free;Contexto2023-1;Ejercicio1_2023-1;mistralai/mistral-nemo:free;Respuesta Incorrecta;5.48;Si;4038;160;- Respuesta estudiante -  SELECT viaje.destino FROM cliente JOIN ticket ON ticket.refcliente = cliente.id JOIN viaje ON ticket.refviaje = viaje.id WHERE cliente.nombre = 'Juan',  - Tabla resultante de;Errores identificados: 1. Lógico: La respuesta del estudiante incluye resultados duplicados.    - ¿Por qué es un error? El enunciado especifica que no se deben repetir los nombres de ciudad.  2. Conce;2025-09-28 23:55:50;Contexto2023-1/Ejercicio1_2023-1/Respuesta Incorrecta/mistralai_mistral-nemo_free/respuestamodelo.txt;revision_manual/Contexto2023-1_Ejercicio1_2023-1_Respuesta Incorrecta_mistralai_mistral-nemo_free.txt;;;;
Contexto2023-2_Ejercicio2_2023-2_Elementos Extras_qwen_qwen3-coder_free;Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-coder:free;Elementos Extras;6.48;Si;4028;304;- Respuesta estudiante -  SELECT academico.nombre AS nombre_academico FROM (     SELECT academico.id, academico.nombre     FROM academico ) AS academico INNER JOIN (     SELECT revisor.ref_academico, ;Errores identificados: 1. Error conceptual: Uso innecesario de subconsultas para seleccionar todas las filas de las tablas.    - ¿Por qué es un error?: Las subconsultas `(SELECT academico.id, academic;2025-09-28 23:56:47;Contexto2023-2/Ejercicio2_2023-2/Elementos Extras/qwen_qwen3-coder_free/respuestamodelo.txt;revision_manual/Contexto2023-2_Ejercicio2_2023-2_Elementos Extras_qwen_qwen3-coder_free.txt;;;;
Contexto2023-1_Ejercicio2_2023-1_Error Sintaxis_qwen_qwen3-235b-a22b_free;Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-235b-a22b:free;Error Sintaxis;12.09;Si;4112;476;- Respuesta estudiante -  SELECT cliente.nombre, COUNT DISTINCT viaje.destino FROM cliente INNER JOIN ticket ticket.refcliente == cliente.id INNER JOIN viaje ticket.refviaje == viaje.id GROUP BY clien;Errores identificados:       1. Errores de sintaxis: Uso de COUNT DISTINCT sin paréntesis.          - ¿Por qué es un error? En SQL, la sintaxis correcta es COUNT(DISTINCT columna) con paréntesis. Escr;2025-09-28 23:56:47;Contexto2023-1/Ejercicio2_2023-1/Error Sintaxis/qwen_qwen3-235b-a22b_free/respuestamodelo.txt;revision_manual/Contexto2023-1_Ejercicio2_2023-1_Error Sintaxis_qwen_qwen3-235b-a22b_free.txt;;;;
Contexto2023-2_Ejercicio1_2023-2_Elementos Extras_x-ai_grok-4-fast_free;Contexto2023-2;Ejercicio1_2023-2;x-ai/grok-4-fast:free;Elementos Extras;45.86;Si;3738;1264;- Respuesta estudiante -  SELECT academico.nombre AS nombre_academico, COUNT(tesis.ref_estudiante) AS nro_estudiantes FROM academico INNER JOIN tesis ON tesis.ref_tutor = academico.id WHERE academico.;Errores identificados: 1. Error conceptual: Inclusión innecesaria de cláusula WHERE para filtrar por área.    ¿Por qué es un error? Todos los académicos en la base de datos pertenecen al mismo área (';2025-09-28 23:56:47;Contexto2023-2/Ejercicio1_2023-2/Elementos Extras/x-ai_grok-4-fast_free/respuestamodelo.txt;revision_manual/Contexto2023-2_Ejercicio1_2023-2_Elementos Extras_x-ai_grok-4-fast_free.txt;;;;
Contexto2023-2_Ejercicio3_2023-2_Error Logico_qwen_qwen3-235b-a22b_free;Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-235b-a22b:free;Error Logico;24.24;Si;3819;1091;- Respuesta estudiante -  SELECT academico.nombre FROM tesis INNER JOIN academico ON academico.id = ref_tutor  INNER JOIN estudiante ON estudiante.id = ref_estudiante WHERE anio_ingreso = 2018,   - Ta;Errores identificados: 1. Logico: Filtro incorrecto en WHERE.    - ¿Por qué es un error? La cláusula `anio_ingreso = 2018` selecciona estudiantes que ingresaron en 2018, pero el problema requiere incl;2025-09-28 23:56:47;Contexto2023-2/Ejercicio3_2023-2/Error Logico/qwen_qwen3-235b-a22b_free/respuestamodelo.txt;revision_manual/Contexto2023-2_Ejercicio3_2023-2_Error Logico_qwen_qwen3-235b-a22b_free.txt;;;;
Contexto2023-2_Ejercicio2_2023-2_Error Sintaxis_google_gemma-3-4b-it_free;Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-4b-it:free;Error Sintaxis;6.36;Si;3912;0;- Respuesta estudiante -  SELECT academicos.nombre AS nombre_academico FROM academicos INNER JOIN revisor ON revisor.ref_academico = academicos.id GROUP BY academicos.id academicos.nombre HAVING COUNT;Errores identificados: 1.  logico: Uso incorrecto de la subconsulta en la cláusula HAVING.      - ¿Por qué es un error? La subconsulta dentro de HAVING calcula el máximo número de tesis revisadas, per;2025-09-28 23:56:47;Contexto2023-2/Ejercicio2_2023-2/Error Sintaxis/google_gemma-3-4b-it_free/respuestamodelo.txt;revision_manual/Contexto2023-2_Ejercicio2_2023-2_Error Sintaxis_google_gemma-3-4b-it_free.txt;;;;
Contexto2023-1_Ejercicio2_2023-1_Respuesta Incorrecta_deepseek_deepseek-chat-v3.1_free;Contexto2023-1;Ejercicio2_2023-1;deepseek/deepseek-chat-v3.1:free;Respuesta Incorrecta;6.99;Si;4076;165;- Respuesta estudiante -  select cliente.nombre, count(viaje.destino)  from cliente, viaje, ticket where  ticket.refviaje = viaje.id and ticket.refcliente = cliente.id group by cliente.nombre,  - Tabl;Errores identificados: 1. Error lógico: Falta usar DISTINCT en el conteo de destinos.    - ¿Por qué es un error? El enunciado solicita contar el número de destinos distintos a los que ha viajado cada ;2025-09-28 23:56:47;Contexto2023-1/Ejercicio2_2023-1/Respuesta Incorrecta/deepseek_deepseek-chat-v3.1_free/respuestamodelo.txt;revision_manual/Contexto2023-1_Ejercicio2_2023-1_Respuesta Incorrecta_deepseek_deepseek-chat-v3.1_free.txt;;;;
Contexto2023-1_Ejercicio1_2023-1_Error Sintaxis_deepseek_deepseek-chat-v3.1_free;Contexto2023-1;Ejercicio1_2023-1;deepseek/deepseek-chat-v3.1:free;Error Sintaxis;9.80;Si;3931;209;"- Respuesta estudiante -  SELECT DISTINCT viaje.destino FROM cliente JOIN ticket ticket.refcliente == cliente.id JOIN viaje ticket.refviaje == viaje.id WHERE cliente.nombre == ""Juan"",  - Tabla resulta";"Errores identificados: 1. Error de Sintaxis: Uso incorrecto de operador de comparación en cláusulas JOIN.    - ¿Por qué es un error? En SQL se utiliza el operador ""="" para comparaciones, no ""=="". Adem";2025-09-28 23:56:47;Contexto2023-1/Ejercicio1_2023-1/Error Sintaxis/deepseek_deepseek-chat-v3.1_free/respuestamodelo.txt;revision_manual/Contexto2023-1_Ejercicio1_2023-1_Error Sintaxis_deepseek_deepseek-chat-v3.1_free.txt;;;;
Contexto2023-1_Ejercicio3_2023-1_Error Sintaxis_qwen_qwen3-30b-a3b_free;Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-30b-a3b:free;Error Sintaxis;11.75;Si;4141;701;- Respuesta estudiante -  SELECT cliente.nombre FROM cliente INNER JOIN ticket ON ticket.refcliente == cliente.id GROUP BY cliente.id, cliente.nombre, WHERE COUNT(ticket.id) == (     SELECT MAX(nro_ti;"Errores identificados: 1. Sintaxis: Uso de operador ""=="" en JOIN.    - ¿Por qué es un error? En SQL, el operador de comparación es ""="", no ""=="".  2. Sintaxis: Cláusula WHERE colocada después de GROUP ";2025-09-28 23:56:47;Contexto2023-1/Ejercicio3_2023-1/Error Sintaxis/qwen_qwen3-30b-a3b_free/respuestamodelo.txt;revision_manual/Contexto2023-1_Ejercicio3_2023-1_Error Sintaxis_qwen_qwen3-30b-a3b_free.txt;;;;
